Thu Mar 29 18:47:30 2018, Humidity,T in C,T in F,mS1,mS2,mS3,mS4,mS5,mS6,mS7,mS8,mS9,mS10,mS11,mS12,mS13,mS14,mS15,mS16,p1,p2,p3,p4
Thu Mar 29 22:22:34 2018, 56.60,24.30,75.74,796,818,888,890,892,870,887,894,889,888,897,887,704,908,911,884,0,0,0,0,
Thu Mar 29 22:27:35 2018, 56.80,24.30,75.74,796,817,888,890,892,870,887,894,889,889,897,887,703,907,911,884,0,0,0,0,
Thu Mar 29 22:32:35 2018, 57.10,24.30,75.74,796,816,888,889,892,870,888,894,889,888,897,887,701,907,911,885,0,0,0,0,
Thu Mar 29 22:37:35 2018, 57.30,24.30,75.74,796,817,888,889,89884,0,0,0,0,
Thu Mar 29 22:42:35 2018, 58.10,26.10,78.98,796,821,888,889,893,877,888,895,890,888,897,888,741,907,900,884,0,0,0,0,
Thu Mar 29 22:47:35 2018, 58.10,26.10,78.98,796,821,889,890,893,877,888,894,890,888,897,888,740,907,899,884,0,0,0,0,
Thu Mar 29 22:52:35 2018, 58.10,26.10,78.98,796,821,888,889,893,877,888,895,890,888,897,888,739,907,899,884,0,0,0,0,
Thu Mar 29 22:57:35 2018, 58.00,26.10,78.98,796,822,889,890,893,877,888,894,891,888,897,889,739,907,899,884,0,0,0,0,
Thu Mar 29 23:02:35 2018, 58.00,26.10,78.98,796,821,890,890,894,877,888,895,890,888,897,888,740,907,899,884,0,0,0,0,
Thu Mar 29 23:07:35 2018, 58.00,26.10,78.98,795,821,889,890,893,877,888,894,890,888,897,889,738,907,899,884,0,0,0,0,
Thu Mar 29 23:12:35 2018, 58.00,26.10,78.98,796,821,889,890,893,877,887,895,890,888,897,888,738,907,899,884,0,0,0,0,
Thu Mar 29 23:17:35 2018, 58.00,26.10,78.98,796,821,889,890,893,876,888,894,890,888,897,889,737,907,899,884,0,0,0,0,
Thu Mar 29 23:22:35 2018, 58.00,26.10,78.98,796,821,889,890,893,877,888,894,890,888,897,888,738,907,898,884,0,0,0,0,
Thu Mar 29 23:27:35 2018, 58.00,26.10,78.98,795,821,889,889,893,876,888,894,890,887,897,888,738,907,898,884,0,0,0,0,
Thu Mar 29 23:32:35 2018, 58.00,26.10,78.98,796,821,889,889,893,878,888,894,890,888,897,888,736,908,898,884,0,0,0,0,
Thu Mar 29 23:37:36 2018, 58.00,26.10,78.98,795,821,887,890,893,877,888,894,890,888,897,888,736,908,898,884,0,0,0,0,
Thu Mar 29 23:42:36 2018, 58.00,26.10,78.98,796,821,889,890,894,876,888,894,891,888,897,889,736,907,899,884,0,0,0,0,
Thu Mar 29 23:47:36 2018, 58.00,26.10,78.98,796,821,889,890,893,877,888,894,890,888,898,888,738,907,899,884,0,0,0,0,
Thu Mar 29 23:52:36 2018, 58.10,26.10,78.98,796,821,889,889,894,877,888,895,890,888,897,889,736,907,899,884,0,0,0,0,
Thu Mar 29 23:57:36 2018, 58.00,26.10,78.98,795,821,889,890,894,877,888,894,890,888,897,889,732,906,898,884,0,0,0,0,
Fri Mar 30 00:02:36 2018, 58.00,26.10,78.98,796,822,889,890,893,877,888,894,891,887,897,888,736,907,899,884,0,0,0,0,
Fri Mar 30 00:07:36 2018, 58.00,26.10,78.98,796,822,889,890,893,877,888,894,891,888,897,889,735,907,898,884,0,0,0,0,
Fri Mar 30 00:12:36 2018, 58.10,26.10,78.98,796,821,889,889,893,877,887,894,890,888,898,889,735,907,898,884,0,0,0,0,
Fri Mar 30 00:17:36 2018, 58.00,26.10,78.98,796,821,889,890,893,877,888,895,890,888,897,889,738,907,899,884,0,0,0,0,
Fri Mar 30 00:22:36 2018, 58.10,26.10,78.98,797,821,889,890,893,877,888,894,891,888,898,888,738,908,898,884,0,0,0,0,
Fri Mar 30 00:27:36 2018, 58.10,26.10,78.98,796,821,889,890,894,877,888,894,890,889,897,889,733,907,899,884,0,0,0,0,
Fri Mar 30 00:32:36 2018, 58.00,26.10,78.98,798,824,891,892,895,879,890,895,892,890,899,890,736,909,900,886,0,0,0,0,
Fri Mar 30 00:37:36 2018, 58.10,26.10,78.98,797,823,890,891,895,879,890,896,892,889,899,890,736,909,900,886,0,0,0,0,
Fri Mar 30 00:42:36 2018, 58.10,26.10,78.98,797,823,891,891,895,879,889,896,891,890,899,890,739,908,898,886,0,0,0,0,
Fri Mar 30 00:47:36 2018, 58.00,26.10,78.98,797,823,890,891,894,879,889,896,893,889,898,890,736,908,899,886,0,0,0,0,
Fri Mar 30 00:52:37 2018, 58.10,26.10,78.98,797,823,890,891,895,879,889,896,892,890,899,890,733,908,900,885,0,0,0,0,
Fri Mar 30 00:57:37 2018, 58.00,26.10,78.98,797,823,890,890,895,879,889,896,892,889,899,890,734,908,900,885,0,0,0,0,
Fri Mar 30 01:02:37 2018, 58.00,26.10,78.98,797,823,889,891,895,879,889,895,892,890,899,890,736,909,900,886,0,0,0,0,
Fri Mar 30 01:07:37 2018, 58.10,26.10,78.98,797,823,891,891,894,879,889,896,892,889,898,890,737,909,900,886,0,0,0,0,
Fri Mar 30 01:12:37 2018, 58.00,26.00,78.80,797,822,890,891,894,879,889,896,892,889,899,890,735,909,899,887,0,0,0,0,
Fri Mar 30 01:17:37 2018, 58.00,26.10,78.98,797,823,891,891,894,879,889,896,892,889,899,890,737,909,899,886,0,0,0,0,
Fri Mar 30 01:22:37 2018, 58.00,26.00,78.80,797,823,891,891,895,879,890,896,892,889,899,889,734,908,900,886,0,0,0,0,
Fri Mar 30 01:27:37 2018, 58.00,26.10,78.98,797,823,890,891,895,879,889,896,891,890,899,890,732,908,899,886,0,0,0,0,
Fri Mar 30 01:32:37 2018, 58.00,26.00,78.80,797,823,891,891,894,879,889,896,891,889,899,890,735,908,899,885,0,0,0,0,
Fri Mar 30 01:37:37 2018, 58.00,26.00,78.80,797,823,890,892,895,878,890,895,891,890,899,890,733,908,900,885,0,0,0,0,
Fri Mar 30 01:42:37 2018, 58.00,26.10,78.98,798,822,890,891,895,879,889,896,892,889,899,890,735,908,899,885,0,0,0,0,
Fri Mar 30 01:47:38 2018, 58.00,26.10,78.98,797,823,890,891,894,879,889,896,892,889,899,890,736,908,899,886,0,0,0,0,
Fri Mar 30 01:52:38 2018, 58.00,26.10,78.98,797,823,891,891,894,879,889,896,892,889,899,889,733,908,900,886,0,0,0,0,
Fri Mar 30 01:57:38 2018, 58.00,26.10,78.98,797,823,890,891,894,879,889,895,892,889,899,890,735,908,899,885,0,0,0,0,
Fri Mar 30 02:02:38 2018, 58.00,26.10,78.98,797,823,890,892,894,879,889,895,892,889,899,889,734,908,899,886,0,0,0,0,
Fri Mar 30 02:07:38 2018, 58.00,26.10,78.98,797,823,891,891,895,879,889,896,892,889,899,890,732,908,899,886,0,0,0,0,
Fri Mar 30 02:12:38 2018, 58.00,26.10,78.98,797,823,890,891,895,878,890,896,892,889,899,888,734,908,899,886,0,0,0,0,
Fri Mar 30 02:17:38 2018, 57.90,26.00,78.80,797,823,890,891,894,,908,891,886,0,0,0,0,
Fri Mar 30 02:22:38 2018, 59.30,25.90,78.62,796,823,889,890,895,881,889,894,892,888,900,890,575,908,890,886,0,0,0,0,
Fri Mar 30 02:27:38 2018, 59.20,25.80,78.44,796,822,890,890,895,880,889,894,892,889,900,890,575,908,890,886,0,0,0,0,
Fri Mar 30 02:32:38 2018, 59.20,25.80,78.44,797,822,890,890,895,881,889,894,891,889,900,890,573,908,890,886,0,0,0,0,
Fri Mar 30 02:37:39 2018, 59.30,25.80,78.44,796,822,890,890,895,881,889,894,892,889,899,889,571,908,891,887,0,0,0,0,
Fri Mar 30 02:42:39 2018, 59.30,25.80,78.44,797,821,889,891,895,881,889,894,892,889,899,890,572,909,890,885,0,0,0,0,
Fri Mar 30 02:47:39 2018, 59.30,25.90,78.62,797,822,890,890,894,880,890,895,891,888,899,890,572,908,891,886,0,0,0,0,
Fri Mar 30 02:52:39 2018, 59.30,25.90,78.62,796,822,890,890,895,880,889,893,891,888,899,890,573,908,890,886,0,0,0,0,
Fri Mar 30 02:57:39 2018, 59.20,25.80,78.44,796,823,890,890,895,881,889,895,892,888,900,890,572,908,889,886,0,0,0,0,
Fri Mar 30 03:02:39 2018, 59.30,25.90,78.62,796,822,890,890,895,881,889,895,891,889,899,890,573,908,890,886,0,0,0,0,
Fri Mar 30 03:07:39 2018, 59.30,25.90,78.62,797,823,890,891,895,881,889,894,891,889,900,890,568,908,890,886,0,0,0,0,
Fri Mar 30 03:12:39 2018, 59.30,25.90,78.62,796,822,890,891,895,881,890,894,892,888,900,889,573,908,890,886,0,0,0,0,
Fri Mar 30 03:17:39 2018, 59.30,25.80,78.44,797,823,890,890,895,881,889,895,891,889,899,890,572,907,891,886,0,0,0,0,
Fri Mar 30 03:22:39 2018, 59.30,25.90,78.62,796,823,890,890,895,881,890,894,891,888,900,890,572,908,890,886,0,0,0,0,
Fri Mar 30 03:27:39 2018, 59.20,25.80,78.44,795,821,890,890,895,881,889,895,891,888,900,890,576,908,889,886,0,0,0,0,
Fri Mar 30 03:32:39 2018, 59.20,25.80,78.44,796,822,890,890,895,881,889,894,892,888,900,889,577,908,890,886,0,0,0,0,
Fri Mar 30 03:37:40 2018, 59.30,25.90,78.62,797,822,889,890,895,881,889,895,891,889,899,890,572,908,890,886,0,0,0,0,
Fri Mar 30 03:42:40 2018, 59.30,25.80,78.44,796,822,890,890,895,881,889,894,891,888,899,889,567,908,891,886,0,0,0,0,
Fri Mar 30 03:47:40 2018, 59.30,25.90,78.62,796,820,890,889,895,881,890,894,892,888,899,890,570,908,890,886,0,0,0,0,
Fri Mar 30 03:52:40 2018, 59.20,25.80,78.44,796,822,890,890,895,881,889,894,892,887,900,890,578,909,890,886,0,0,0,0,
Fri Mar 30 03:57:40 2018, 59.20,25.80,78.44,796,823,889,890,896,881,889,894,891,888,899,890,571,908,890,886,0,0,0,0,
Fri Mar 30 04:02:40 2018, 59.30,25.90,78.62,797,822,890,890,895,881,890,895,892,888,899,890,565,908,890,886,0,0,0,0,
Fri Mar 30 04:07:40 2018, 59.30,25.90,78.62,796,821,890,891,895,881,889,895,892,889,900,890,572,909,890,886,0,0,0,0,
Fri Mar 30 04:12:40 2018, 59.30,25.90,78.62,796,822,890,890,894,881,890,894,891,889,900,890,570,908,890,886,0,0,0,0,
Fri Mar 30 04:17:40 2018, 59.20,25.80,78.44,796,822,890,891,895,881,890,893,891,888,900,890,570,909,890,886,0,0,0,0,
Fri Mar 30 04:22:40 2018, 59.20,25.80,78.44,796,822,890,890,895,881,889,895,891,888,899,890,572,908,890,887,0,0,0,0,
Fri Mar 30 04:27:40 2018, 59.30,25.90,78.62,796,822,889,890,895,881,889,895,891,889,899,889,569,908,891,886,0,0,0,0,
Fri Mar 30 04:32:40 2018, 59.20,25.80,78.44,796,822,890,890,895,881,889,895,890,888,900,890,572,908,890,887,0,0,0,0,
Fri Mar 30 04:37:40 2018, 59.20,25.80,78.44,796,822,890,890,895,881,889,894,891,889,899,890,574,909,890,885,0,0,0,0,
Fri Mar 30 04:42:40 2018, 59.30,25.90,78.62,797,822,890,891,895,881,890,895,891,888,900,889,578,909,890,887,0,0,0,0,
Fri Mar 30 04:47:40 2018, 59.30,25.90,78.62,796,822,890,890,895,881,889,895,891,888,900,889,576,907,890,887,0,0,0,0,
Fri Mar 30 04:52:41 2018, 59.30,25.90,78.62,796,823,890,890,895,881,889,894,892,888,899,890,570,908,890,886,0,0,0,0,
Fri Mar 30 04:57:41 2018, 59.30,25.90,78.62,796,823,889,890,895,881,890,894,891,889,899,890,564,909,891,886,0,0,0,0,
Fri Mar 30 05:02:41 2018, 59.30,25.90,78.62,796,822,889,890,895,880,890,894,892,889,900,889,570,908,890,886,0,0,0,0,
Fri Mar 30 05:07:41 2018, 59.30,25.90,78.62,797,823,889,890,895,881,889,894,891,888,900,890,571,908,890,887,0,0,0,0,
Fri Mar 30 05:12:41 2018, 59.20,25.80,78.44,797,822,890,890,895,882,889,895,892,888,900,889,574,908,890,887,0,0,0,0,
Fri Mar 30 05:17:41 2018, 59.30,25.80,78.44,797,822,890,890,895,881,889,895,891,889,899,889,575,909,890,886,0,0,0,0,
Fri Mar 30 05:22:41 2018, 59.30,25.90,78.62,796,822,889,891,894,881,890,894,892,889,900,890,577,908,890,887,0,0,0,0,
Fri Mar 30 05:27:41 2018, 59.30,25.90,78.62,797,822,890,890,895,881,889,894,891,889,900,890,570,908,890,886,0,0,0,0,
Fri Mar 30 05:32:41 2018, 59.20,25.80,78.44,795,822,889,891,896,881,889,894,891,888,900,889,564,907,891,884,0,0,0,0,
Fri Mar 30 05:37:41 2018, 59.30,25.90,78.62,796,822,890,890,895,881,889,895,892,889,900,890,568,908,890,886,0,0,0,0,
Fri Mar 30 05:42:41 2018, 59.20,25.80,78.44,797,822,890,890,895,881,890,894,891,888,900,891,574,907,890,886,0,0,0,0,
Fri Mar 30 05:47:41 2018, 59.30,25.90,78.62,796,823,890,890,895,881,890,894,891,889,899,890,568,908,890,887,0,0,0,0,
Fri Mar 30 05:52:42 2018, 59.30,25.90,78.62,797,822,889,891,895,881,889,894,892,888,900,889,567,909,890,886,0,0,0,0,
Fri Mar 30 05:57:42 2018, 59.20,25.80,78.44,796,822,890,890,894,881,889,895,892,889,900,890,569,908,890,887,0,0,0,0,
Fri Mar 30 06:02:42 2018, 59.30,25.90,78.62,796,822,890,890,895,8889,284,908,887,888,0,0,0,0,
Fri Mar 30 06:07:42 2018, 62.50,24.80,76.64,795,820,889,891,896,881,890,893,888,888,899,890,273,908,887,888,0,0,0,0,
Fri Mar 30 06:12:42 2018, 62.60,24.90,76.82,795,820,889,890,895,881,889,893,888,889,899,889,280,908,886,888,0,0,0,0,
Fri Mar 30 06:17:42 2018, 62.60,24.90,76.82,795,819,890,890,895,881,889,893,888,888,899,889,289,909,887,887,0,0,0,0,
Fri Mar 30 06:22:42 2018, 62.70,24.90,76.82,794,820,888,890,895,881,890,893,888,888,899,889,290,909,887,889,0,0,0,0,
Fri Mar 30 06:27:42 2018, 62.50,24.80,76.64,795,820,889,889,895,882,889,893,888,888,899,889,299,908,887,888,0,0,0,0,
Fri Mar 30 06:32:42 2018, 62.70,24.90,76.82,796,820,888,891,895,882,889,893,888,888,899,889,291,909,887,889,0,0,0,0,
Fri Mar 30 06:37:42 2018, 62.50,24.80,76.64,796,819,889,890,894,882,889,893,889,888,899,889,288,909,887,888,0,0,0,0,
Fri Mar 30 06:42:42 2018, 62.60,24.80,76.64,796,820,888,890,895,880,889,893,889,888,900,889,286,908,887,888,0,0,0,0,
Fri Mar 30 06:47:42 2018, 62.60,24.80,76.64,795,820,889,890,895,882,889,893,888,888,899,889,284,908,888,888,0,0,0,0,
Fri Mar 30 06:52:43 2018, 62.60,24.90,76.82,796,820,889,890,895,881,889,893,889,888,899,889,284,908,887,887,0,0,0,0,
Fri Mar 30 06:57:43 2018, 62.70,24.90,76.82,795,819,889,891,895,881,889,892,888,888,900,889,289,909,888,888,0,0,0,0,
Fri Mar 30 07:02:43 2018, 62.60,24.80,76.64,795,820,889,890,895,882,889,893,888,888,900,889,297,909,887,888,0,0,0,0,
Fri Mar 30 07:07:43 2018, 62.60,24.80,76.64,796,819,889,890,895,882,889,893,888,888,900,888,297,908,887,888,0,0,0,0,
Fri Mar 30 07:12:43 2018, 62.60,24.80,76.64,795,820,889,890,895,881,889,893,888,888,899,889,285,909,888,888,0,0,0,0,
Fri Mar 30 07:17:43 2018, 62.60,24.80,76.64,796,820,889,889,895,882,889,893,889,888,899,889,283,908,888,888,0,0,0,0,
Fri Mar 30 07:22:43 2018, 62.70,24.90,76.82,795,819,888,890,895,881,889,893,888,888,899,889,284,909,887,888,0,0,0,0,
Fri Mar 30 07:27:43 2018, 62.60,24.80,76.64,796,819,888,891,895,882,889,893,888,888,899,889,295,909,886,888,0,0,0,0,
Fri Mar 30 07:32:43 2018, 62.70,24.90,76.82,796,819,889,890,895,882,889,893,888,888,899,889,285,908,888,888,0,0,0,0,
Fri Mar 30 07:37:43 2018, 62.60,24.80,76.64,795,819,889,891,895,882,889,893,888,888,899,889,282,908,887,889,0,0,0,0,
Fri Mar 30 07:42:43 2018, 62.60,24.80,76.64,795,821,889,890,895,881,889,893,888,888,899,889,281,908,888,888,0,0,0,0,
Fri Mar 30 07:47:43 2018, 62.60,24.80,76.64,796,820,889,890,896,881,889,893,889,888,900,889,266,908,888,888,0,0,0,0,
Fri Mar 30 07:52:43 2018, 62.60,24.80,76.64,795,821,889,890,895,881,889,893,888,889,899,889,271,908,887,888,0,0,0,0,
Fri Mar 30 07:57:43 2018, 62.70,24.80,76.64,797,820,889,890,896,881,889,893,888,888,900,889,268,908,888,888,0,0,0,0,
Fri Mar 30 08:02:44 2018, 62.60,24.80,76.64,795,819,889,890,895,881,889,893,888,888,899,889,268,908,888,888,0,0,0,0,
Fri Mar 30 08:07:44 2018, 62.60,24.80,76.64,796,819,889,890,895,881,889,893,888,888,899,889,272,908,888,888,0,0,0,0,
Fri Mar 30 08:12:44 2018, 62.70,24.80,76.64,796,820,889,890,896,881,889,893,888,888,899,889,277,908,887,889,0,0,0,0,
Fri Mar 30 08:17:44 2018, 62.70,24.80,76.64,795,819,889,890,895,881,889,893,888,889,899,889,282,908,887,888,0,0,0,0,
Fri Mar 30 08:22:44 2018, 62.70,24.80,76.64,795,819,889,890,895,881,889,893,888,888,900,889,282,908,888,888,0,0,0,0,
Fri Mar 30 08:27:44 2018, 62.70,24.80,76.64,795,820,888,890,895,882,889,893,888,888,899,889,282,908,886,888,0,0,0,0,
Fri Mar 30 08:32:44 2018, 62.70,24.80,76.64,795,820,889,890,895,881,889,893,888,888,900,889,281,909,886,888,0,0,0,0,
Fri Mar 30 08:37:44 2018, 62.70,24.80,76.64,795,820,889,890,895,882,889,893,888,888,900,889,282,908,887,888,0,0,0,0,
Fri Mar 30 08:42:44 2018, 62.70,24.80,76.64,795,819,888,890,895,882,889,893,888,888,900,889,296,908,887,888,0,0,0,0,
Fri Mar 30 08:47:44 2018, 62.70,24.80,76.64,795,819,889,891,895,882,889,893,889,888,900,889,285,909,888,888,0,0,0,0,
Fri Mar 30 08:52:44 2018, 62.70,24.80,76.64,796,820,888,890,895,882,889,893,888,888,899,889,282,909,887,889,0,0,0,0,
Fri Mar 30 08:57:45 2018, 62.70,24.80,76.64,796,820,889,891,895,882,889,893,888,888,899,889,278,908,887,888,0,0,0,0,
Fri Mar 30 09:02:45 2018, 62.70,24.80,76.64,796,820,889,889,895,882,889,893,889,888,900,889,280,908,887,887,0,0,0,0,
Fri Mar 30 09:07:45 2018, 62.70,24.80,76.64,795,820,889,889,895,882,889,892,888,888,900,889,278,908,887,888,0,0,0,0,
Fri Mar 30 09:12:45 2018, 62.80,24.80,76.64,795,820,889,890,894,881,889,893,888,888,899,889,277,908,887,888,0,0,0,0,
Fri Mar 30 09:17:45 2018, 62.70,24.80,76.64,796,820,889,890,895,881,888,893,888,888,899,890,267,907,887,888,0,0,0,0,
Fri Mar 30 09:22:45 2018, 62.80,24.80,76.64,795,820,889,891,895,882,889,892,889,888,899,889,266,909,887,888,0,0,0,0,
Fri Mar 30 09:27:45 2018, 62.70,24.80,76.64,795,820,889,890,895,881,889,893,888,888,900,889,277,908,887,889,0,0,0,0,
Fri Mar 30 09:32:45 2018, 62.70,24.80,76.64,796,821,889,890,895,881,889,893,888,888,899,888,279,909,887,889,0,0,0,0,
