Thu Mar 29 18:47:30 2018, Humidity,T in C,T in F,mS1,mS2,mS3,mS4,mS5,mS6,mS7,mS8,mS9,mS10,mS11,mS12,mS13,mS14,mS15,mS16,p1,p2,p3,p4
Sun Apr  1 05:43:34 2018, 85.30,23.30,73.94,795,819,889,888,892,883,893,882,888,886,897,890,85,910,885,891,0,0,0,0,
Sun Apr  1 05:48:34 2018, 85.40,23.40,74.12,795,819,889,888,892,883,892,882,887,887,896,889,68,910,885,892,0,0,0,0,
Sun Apr  1 05:53:34 2018, 85.30,23.40,74.12,795,819,889,888,892,883,892,882,887,886,896,889,95,910,885,892,0,0,0,0,
Sun Apr  1 05:58:34 2018, 85.10,23.30,73.94,795,819,889,888,892,883,892,883,887,887,896,889,95,910,885,891,0,0,0,0,
Sun Apr  1 06:03:34 2018, 85.10,23.30,73.94,795,819,888,888,892,882,892,882,887,886,897,890,96,909,886,892,0,0,0,0,
Sun Apr  1 06:08:34 2018, 85.00,23.30,73.94,795,819,890,888,891,883,892,882,887,887,896,889,98,910,885,892,0,0,0,0,
Sun Apr  1 06:13:34 2018, 85.00,23.30,73.94,795,819,889,888,892,883,891,882,887,887,896,888,98,910,885,891,0,0,0,0,
Sun Apr  1 06:18:35 2018, 84.90,23.30,73.94,795,819,889,888,892,882,893,882,888,887,896,889,98,910,886,891,0,0,0,0,
Sun Apr  1 06:23:35 2018, 84.80,23.30,73.94,795,820,889,889,892,883,892,882,887,887,896,890,85,909,886,892,0,0,0,0,
Sun Apr  1 06:28:35 2018, 84.80,23.30,73.94,795,819,889,888,892,882,892,883,887,887,896,889,95,910,886,891,0,0,0,0,
Sun Apr  1 06:33:35 2018, 84.80,23.30,73.94,795,819,889,888,892,883,892,882,887,887,896,890,78,903.70,22.20,71.96,797,810,893,886,891,884,890,889,886,887,885,889,150,919,888,885,0,0,10,0,
Sun Apr  1 06:38:35 2018, 93.80,22.20,71.96,796,810,894,886,892,883,889,889,885,887,885,889,150,918,888,885,0,0,11,0,
Sun Apr  1 06:43:35 2018, 93.80,22.20,71.96,796,810,894,886,892,883,890,888,885,887,885,889,147,919,888,888,0,0,11,0,
Sun Apr  1 06:48:35 2018, 93.90,22.20,71.96,796,810,894,886,892,884,890,889,885,887,885,889,149,918,888,887,0,0,10,0,
Sun Apr  1 06:53:35 2018, 93.90,22.20,71.96,797,809,895,886,891,884,889,889,884,887,886,889,148,918,888,889,0,0,10,0,
Sun Apr  1 06:58:35 2018, 93.90,22.20,71.96,797,809,895,885,892,884,889,889,885,887,886,889,146,918,889,889,0,0,10,0,
Sun Apr  1 07:03:36 2018, 93.90,22.20,71.96,795,809,895,886,891,884,889,889,885,887,885,889,143,917,888,888,0,0,10,0,
Sun Apr  1 07:08:36 2018, 93.90,22.20,71.96,796,809,895,886,891,884,889,889,886,886,885,889,143,918,888,891,0,0,10,0,
Sun Apr  1 07:13:36 2018, 94.00,22.20,71.96,797,809,895,886,891,884,889,889,885,887,886,889,148,918,888,889,0,0,10,1,
Sun Apr  1 07:18:36 2018, 94.00,22.20,71.96,797,809,895,886,891,884,889,889,885,887,886,889,156,918,888,890,0,0,11,0,
Sun Apr  1 07:23:36 2018, 94.00,22.20,71.96,796,808,895,886,892,884,889,889,885,887,885,888,157,918,888,890,0,0,10,0,
Sun Apr  1 07:28:36 2018, 94.00,22.20,71.96,796,809,896,886,891,883,889,889,885,886,886,888,160,918,888,892,0,0,10,0,
Sun Apr  1 07:33:36 2018, 94.00,22.20,71.96,797,809,896,885,892,884,888,889,885,887,885,888,154,917,888,889,0,0,11,0,
Sun Apr  1 07:38:36 2018, 94.00,22.20,71.96,797,809,895,886,892,884,889,889,885,887,885,888,142,917,888,892,0,0,10,0,
Sun Apr  1 07:43:36 2018, 94.00,22.20,71.96,796,809,896,886,892,883,889,889,885,887,885,888,143,917,889,890,0,0,11,0,
Sun Apr  1 07:48:36 2018, 94.00,22.20,71.96,796,809,896,885,892,884,889,888,885,887,885,888,142,917,888,891,0,0,11,0,
Sun Apr  1 07:53:37 2018, 94.00,22.20,71.96,796,809,896,886,892,883,890,889,885,887,885,888,139,917,888,891,0,0,11,0,
Sun Apr  1 07:58:37 2018, 94.00,22.20,71.96,796,809,896,886,893,882,889,889,885,887,885,888,140,917,888,890,0,0,11,0,
Sun Apr  1 08:03:37 2018, 93.90,22.20,71.96,797,809,896,885,892,883,889,889,885,887,885,888,141,916,888,894,0,0,11,0,
Sun Apr  1 08:08:37 2018, 94.00,22.20,71.96,796,808,896,885,892,883,889,889,885,887,885,888,140,916,888,891,0,0,11,0,
Sun Apr  1 08:13:37 2018, 94.00,22.20,71.96,796,809,896,885,891,882,890,889,885,887,885,888,141,917,888,891,0,0,11,0,
Sun Apr  1 08:18:37 2018, 94.00,22.20,71.96,796,809,896,885,892,883,889,889,885,887,884,888,139,915,889,891,0,0,11,0,
Sun Apr  1 08:23:37 2018, 94.00,22.30,72.14,797,809,896,886,892,882,889,889,885,887,885,887,140,916,889,892,0,0,12,0,
Sun Apr  1 08:28:37 2018, 94.00,22.30,72.14,796,809,896,885,892,882,889,888,885,887,885,888,134,916,889,891,0,0,12,0,
Sun Apr  1 08:33:37 2018, 93.90,22.20,71.96,796,809,896,885,892,882,889,889,885,887,885,888,140,916,888,891,0,0,12,0,
Sun Apr  1 08:38:38 2018, 93.90,22.30,72.14,797,809,896,885,892,882,889,889,884,887,885,888,137,916,889,890,0,0,12,1,
Sun Apr  1 08:43:38 2018, 93.90,22.30,72.14,796,808,895,885,892,882,889,888,885,886,885,888,131,916,888,892,0,0,12,0,
Sun Apr  1 08:48:38 2018, 93.90,22.20,71.96,797,809,897,885,892,882,889,889,884,887,885,888,138,916,888,890,0,0,12,0,
Sun Apr  1 08:53:38 2018, 93.90,22.30,72.14,797,809,896,885,892,882,889,889,884,886,885,888,136,917,888,891,0,0,12,0,
Sun Apr  1 08:58:38 2018, 93.80,22.30,72.14,796,809,896,884,893,882,890,888,885,887,884,888,133,917,889,893,0,0,12,0,
Sun Apr  1 09:03:38 2018, 93.80,22.30,72.14,796,808,896,885,892,883,889,889,885,887,885,888,136,916,888,890,0,0,12,0,
Sun Apr  1 09:08:38 2018, 93.70,22.30,72.14,796,808,896,885,892,882,889,889,884,887,884,888,136,916,888,890,0,0,12,0,
Sun Apr  1 09:13:38 2018, 93.70,22.30,72.14,796,809,896,885,892,882,889,889,885,887,884,887,138,916,888,893,0,0,12,0,
Sun Apr  1 09:18:38 2018, 93.70,22.30,72.14,797,808,896,885,892,882,890,888,885,887,884,888,138,917,888,890,0,0,12,0,
Sun Apr  1 09:23:38 2018, 93.70,22.30,72.14,797,809,897,885,892,882,889,888,885,887,885,888,138,916,889,891,0,0,12,0,
Sun Apr  1 09:28:38 2018, 93.60,22.30,72.14,796,809,896,885,892,882,890,889,885,886,885,888,137,916,888,893,0,0,12,0,
Sun Apr  1 09:33:39 2018, 93.60,22.30,72.14,796,809,897,885,891,882,890,888,885,886,885,888,138,916,888,890,0,0,12,0,
Sun Apr  1 09:38:39 2018, 93.60,22.30,72.14,797,809,896,885,892,883,890,888,885,886,885,888,138,916,888,891,0,0,13,0,
Sun Apr  1 09:43:39 2018, 93.50,22.30,72.14,796,809,896,884,892,882,890,888,885,886,884,888,135,916,888,890,0,0,12,0,
Sun Apr  1 09:48:39 2018, 93.50,22.30,72.14,796,809,897,884,893,882,890,887,885,886,884,887,132,916,888,890,0,0,12,0,
Sun Apr  1 09:53:39 2018, 93.40,22.30,72.14,797,809,897,884,892,883,890,889,885,886,884,887,140,915,889,891,0,0,12,0,
Sun Apr  1 09:58:39 2018, 93.40,22.30,72.14,795,809,897,884,893,883,890,888,885,887,884,888,140,914,889,888,0,0,13,0,
Sun Apr  1 10:03:39 2018, 93.30,22.30,72.14,796,809,897,885,893,882,890,888,885,887,883,888,139,916,888,890,0,0,13,0,
Sun Apr  1 10:08:39 2018, 93.30,22.30,72.14,796,809,896,884,892,883,890,888,885,887,884,888,135,916,888,888,0,0,13,0,
Sun Apr  1 10:13:39 2018, 93.30,22.40,72.32,796,809,897,884,893,882,890,888,885,887,884,888,136,915,888,889,0,0,13,0,
Sun Apr  1 10:18:39 2018, 63.70,23.30,73.94,795,821,890,874,893,880,893,884,883,887,895,888,35,913,887,892,0,0,0,0,
Sun Apr  1 10:23:40 2018, 63.80,23.30,73.94,796,822,890,874,893,880,893,884,884,887,895,888,37,913,887,892,0,0,0,0,
Sun Apr  1 10:28:40 2018, 63.70,23.30,73.94,795,822,890,874,893,880,893,884,883,887,895,888,38,912,887,892,0,0,0,0,
Sun Apr  1 10:33:40 2018, 63.80,23.30,73.94,795,821,890,874,893,881,892,884,883,887,896,888,36,913,887,892,0,0,0,0,
Sun Apr  1 10:38:40 2018, 63.90,23.30,73.94,795,821,890,873,892,880,892,884,883,887,895,887,29,913,887,892,0,0,0,0,
Sun Apr  1 10:43:40 2018, 63.80,23.30,73.94,795,822,890,874,893,880,892,884,883,887,895,888,24,913,887,892,0,0,0,0,
Sun Apr  1 10:48:40 2018, 63.70,23.30,73.94,795,821,890,874,892,880,893,884,882,887,895,888,39,912,887,892,0,0,0,0,
Sun Apr  1 10:53:40 2018, 63.70,23.30,73.94,795,821,890,874,892,880,893,884,884,887,895,888,38,913,887,892,0,0,0,0,
Sun Apr  1 10:58:40 2018, 63.70,23.30,73.94,795,822,889,874,892,881,893,885,883,886,895,888,36,913,887,892,0,0,0,0,
Sun Apr  1 11:03:40 2018, 63.90,23.30,73.94,795,822,889,874,892,880,893,884,883,886,895,888,40,913,886,892,0,0,0,0,
Sun Apr  1 11:08:41 2018, 64.00,23.30,73.94,795,822,890,874,892,880,893,884,883,887,895,887,38,913,887,891,0,0,0,0,
Sun Apr  1 11:13:41 2018, 63.80,23.20,73.76,795,820,890,874,892,880,892,884,883,887,895,887,37,912,887,892,0,0,0,0,
Sun Apr  1 11:18:41 2018, 64.00,23.20,73.76,795,821,889,874,892,880,892,884,883,887,895,887,36,913,887,892,0,0,0,0,
Sun Apr  1 11:23:41 2018, 63.90,23.20,73.76,794,822,890,874,892,881,893,883,883,887,895,888,35,913,887,892,0,0,0,0,
Sun Apr  1 11:28:41 2018, 63.90,23.20,73.76,795,821,889,874,892,880,893,884,883,887,895,888,47,913,887,892,0,0,0,0,
Sun Apr  1 11:33:41 2018, 63.80,23.20,73.76,795,821,890,873,892,880,893,884,883,887,895,888,31,912,887,892,0,0,0,0,
Sun Apr  1 11:38:41 2018, 63.90,23.20,73.76,795,821,890,874,892,881,893,884,883,887,895,888,32,912,887,892,0,0,0,0,
Sun Apr  1 11:43:41 2018, 63.90,23.20,73.76,795,821,889,874,892,880,893,884,883,887,895,888,32,913,887,892,0,0,0,0,
Sun Apr  1 11:48:41 2018, 63.90,23.20,73.76,795,822,889,874,892,880,893,883,883,887,895,888,30,913,887,892,0,0,0,0,
Sun Apr  1 11:53:42 2018, 64.00,23.20,73.76,795,821,889,874,892,880,892,884,883,887,895,888,24,913,887,892,0,0,0,0,
Sun Apr  1 11:58:42 2018, 64.00,23.20,73.76,796,821,889,874,892,880,893,884,883,887,896,888,28,913,887,892,0,0,0,0,
Sun Apr  1 12:03:42 2018, 64.10,23.20,73.76,795,821,890,874,892,880,892,884,883,887,896,888,27,913,887,892,0,0,0,0,
Sun Apr  1 12:08:42 2018, 64.20,23.20,73.76,795,822,890,873,893,880,893,884,883,887,895,888,17,912,887,892,0,0,0,0,
Sun Apr  1 12:13:42 2018, 64.20,23.20,73.76,796,821,889,874,892,880,893,884,883,887,895,888,24,913,887,893,0,0,0,0,
Sun Apr  1 12:18:42 2018, 64.20,23.20,73.76,795,822,890,873,893,880,893,884,883,887,895,888,36,912,887,892,0,0,0,0,
Sun Apr  1 12:23:42 2018, 64.00,23.10,73.58,795,822,889,874,892,880,892,884,883,887,895,888,38,913,887,892,0,0,0,0,
Sun Apr  1 12:28:42 2018, 63.90,23.10,73.58,795,821,890,874,892,880,893,884,883,887,895,888,35,912,887,892,0,0,0,0,
Sun Apr  1 12:33:42 2018, 64.00,23.20,73.76,795,821,890,874,892,880,893,884,883,886,895,888,34,912,887,892,0,0,0,0,
Sun Apr  1 12:38:42 2018, 64.00,23.10,73.58,794,821,890,874,892,879,893,884,883,887,894,888,23,913,887,892,0,0,0,0,
Sun Apr  1 12:43:43 2018, 64.00,23.10,73.58,795,822,890,874,893,880,893,884,883,887,896,888,26,913,886,892,0,0,0,0,
Sun Apr  1 12:48:43 2018, 64.10,23.10,73.58,795,821,890,873,893,880,893,884,883,887,895,888,17,913,887,892,0,0,0,0,
Sun Apr  1 12:53:43 2018, 64.20,23.10,73.58,795,822,890,873,892,880,893,885,883,887,895,888,10,913,887,892,0,0,0,0,
Sun Apr  1 12:58:43 2018, 64.30,23.10,73.58,795,822,890,873,893,880,893,885,883,887,895,888,28,912,887,892,0,0,0,0,
Sun Apr  1 13:03:43 2018, 64.20,23.10,73.58,796,821,890,874,892,880,893,884,883,887,895,887,37,913,887,892,0,0,0,0,
Sun Apr  1 13:08:43 2018, 64.20,23.10,73.58,795,822,890,874,892,880,893,884,883,887,895,888,37,912,887,892,0,0,0,0,
Sun Apr  1 13:13:43 2018, 64.10,23.10,73.58,794,821,890,873,893,880,893,884,883,887,895,888,34,912,887,892,0,0,0,0,
Sun Apr  1 13:18:43 2018, 64.10,23.10,73.58,795,821,890,873,892,880,892,884,883,887,894,888,50,913,887,891,0,0,0,0,
Sun Apr  1 13:23:43 2018, 64.20,23.10,73.58,795,821,890,873,892,880,893,884,883,886,895,888,35,913,887,892,0,0,0,0,
Sun Apr  1 13:28:44 2018, 64.20,23.10,73.58,795,821,889,873,892,880,893,884,882,887,895,888,17,912,887,892,0,0,0,0,
Sun Apr  1 13:33:44 2018, 64.20,23.10,73.58,795,821,889,874,892,880,893,884,883,887,895,888,23,913,887,892,0,0,0,0,
Sun Apr  1 13:38:44 2018, 64.20,23.10,73.58,795,821,889,874,892,880,893,884,883,887,895,888,46,913,886,892,0,0,0,0,
Sun Apr  1 13:43:44 2018, 64.20,23.10,73.58,795,821,889,873,892,880,893,884,883,887,895,888,34,913,887,892,0,0,0,0,
Sun Apr  1 13:48:44 2018, 64.30,23.10,73.58,795,821,889,874,892,881,893,884,883,886,895,887,24,913,887,892,0,0,0,0,
Sun Apr  1 13:53:44 2018, 64.30,23.10,73.58,794,821,890,873,892,880,893,884,883,887,895,888,33,913,887,892,0,0,0,0,
Sun Apr  1 13:58:44 2018, 64.30,23.10,73.58,795,821,889,874,892,880,893,884,883,887,895,888,8,913,886,89259.10,23.20,73.76,795,822,889,883,890,883,894,884,884,888,898,886,4,920,886,892,0,0,0,0,
Sun Apr  1 14:03:44 2018, 59.10,23.20,73.76,794,822,889,882,890,883,894,884,882,887,897,887,0,920,886,892,0,0,0,0,
Sun Apr  1 14:08:44 2018, 59.10,23.20,73.76,794,822,889,883,890,883,894,884,883,887,897,887,9,920,886,892,0,0,0,0,
Sun Apr  1 14:13:44 2018, 58.90,23.10,73.58,794,822,889,882,891,883,894,885,883,888,898,886,13,921,886,892,0,0,0,0,
Sun Apr  1 14:18:44 2018, 58.90,23.10,73.58,795,822,890,882,890,882,894,884,884,888,897,886,28,920,886,891,0,0,0,0,
Sun Apr  1 14:23:44 2018, 59.00,23.20,73.76,795,822,888,883,890,883,894,885,884,887,898,886,10,921,886,892,0,0,0,0,
Sun Apr  1 14:28:45 2018, 58.90,23.20,73.76,795,822,889,883,890,883,894,885,883,887,897,886,6,920,886,892,0,0,0,0,
Sun Apr  1 14:33:45 2018, 59.00,23.20,73.76,795,822,889,883,890,883,894,884,883,888,897,886,5,920,886,892,0,0,0,0,
Sun Apr  1 14:38:45 2018, 58.90,23.10,73.58,795,822,889,882,890,883,894,885,883,887,896,887,7,921,886,892,0,0,0,0,
Sun Apr  1 14:43:45 2018, 58.90,23.10,73.58,795,822,889,883,890,883,895,884,883,888,897,887,4,921,886,892,0,0,0,0,
Sun Apr  1 14:48:45 2018, 59.00,23.20,73.76,794,822,889,882,890,883,895,884,882,888,897,886,0,920,886,892,0,0,0,0,
Sun Apr  1 14:53:45 2018, 58.90,23.10,73.58,795,822,889,883,890,883,894,885,884,888,897,886,0,920,886,892,0,0,0,0,
Sun Apr  1 14:58:45 2018, 59.00,23.20,73.76,795,822,889,882,890,883,894,885,883,888,897,886,0,920,886,892,0,0,0,0,
Sun Apr  1 15:03:45 2018, 59.00,23.20,73.76,795,822,889,882,890,883,894,885,882,889,897,886,5,920,886,892,0,0,0,0,
Sun Apr  1 15:08:45 2018, 58.90,23.20,73.76,795,822,889,883,890,883,894,885,883,888,897,886,3,920,887,892,0,0,0,0,
Sun Apr  1 15:13:45 2018, 58.90,23.20,73.76,795,822,888,883,890,883,894,884,884,887,897,886,5,920,886,892,0,0,0,0,
Sun Apr  1 15:18:45 2018, 58.90,23.20,73.76,795,822,889,883,890,883,894,884,884,887,897,887,5,921,886,892,0,0,0,0,
Sun Apr  1 15:23:46 2018, 59.00,23.20,73.76,795,822,888,883,890,883,894,884,883,887,898,886,35,921,886,892,0,0,0,0,
Sun Apr  1 15:28:46 2018, 59.00,23.20,73.76,794,823,888,882,890,883,894,884,883,888,897,886,0,921,886,892,0,0,0,0,
Sun Apr  1 15:33:46 2018, 59.00,23.20,73.76,794,823,889,883,890,883,895,884,883,888,897,887,0,921,886,893,0,0,0,0,
Sun Apr  1 15:38:46 2018, 59.00,23.10,73.58,795,822,888,883,890,883,894,884,884,887,897,887,5,920,887,892,0,0,0,0,
Sun Apr  1 15:43:46 2018, 59.00,23.20,73.76,795,822,888,883,890,883,894,884,883,887,897,887,6,920,886,892,0,0,0,0,
Sun Apr  1 15:48:46 2018, 59.00,23.20,73.76,795,822,888,883,890,883,894,884,884,888,897,886,5,920,886,892,0,0,0,0,
Sun Apr  1 15:53:46 2018, 58.90,23.20,73.76,795,821,889,883,890,883,894,884,883,888,897,886,4,921,886,892,0,0,0,0,
Sun Apr  1 15:58:46 2018, 58.90,23.10,73.58,795,822,888,883,890,883,894,884,884,887,898,886,8,920,886,892,0,0,0,0,
Sun Apr  1 16:03:46 2018, 58.90,23.10,73.58,794,822,889,883,890,883,894,885,883,888,897,886,8,921,886,892,0,0,0,0,
Sun Apr  1 16:08:46 2018, 59.00,23.20,73.76,795,822,889,883,890,884,894,885,883,888,898,886,6,920,886,891,0,0,0,0,
Sun Apr  1 16:13:47 2018, 58.90,23.10,73.58,793,822,889,883,891,882,895,884,883,888,896,887,4,921,887,892,0,0,0,0,
Sun Apr  1 16:18:47 2018, 59.00,23.20,73.76,793,822,889,882,890,882,894,885,883,888,896,887,5,920,887,892,0,0,0,0,
Sun Apr  1 16:23:47 2018, 58.90,23.10,73.58,795,822,889,883,890,883,894,884,884,888,897,887,4,921,886,892,0,0,0,0,
Sun Apr  1 16:28:47 2018, 58.90,23.10,73.58,795,822,889,883,890,883,894,885,883,887,897,886,0,921,887,892,0,0,0,0,
Sun Apr  1 16:33:47 2018, 59.00,23.20,73.76,794,823,888,882,890,883,894,884,882,888,897,886,0,921,886,892,0,0,0,0,
Sun Apr  1 16:38:47 2018, 58.90,23.10,73.58,795,822,889,883,890,883,894,884,883,888,897,887,4,922,886,892,0,0,0,0,
Sun Apr  1 16:43:47 2018, 58.80,23.10,73.58,795,822,889,882,890,883,894,885,882,888,897,886,26,920,886,892,0,0,0,0,
Sun Apr  1 16:48:47 2018, 58.90,23.20,73.76,794,822,889,882,890,883,894,885,883,888,897,886,9,921,886,893,0,0,0,0,
Sun Apr  1 16:53:47 2018, 58.90,23.20,73.76,795,822,888,882,890,883,895,884,883,888,897,887,4,921,886,892,0,0,0,0,
Sun Apr  1 16:58:48 2018, 58.90,23.10,73.58,795,822,889,883,890,883,894,884,884,888,898,886,10,921,886,892,0,0,0,0,
Sun Apr  1 17:03:48 2018, 59.00,23.20,73.76,795,822,889,883,890,883,894,884,883,887,898,886,28,921,886,893,0,0,0,0,
Sun Apr  1 17:08:48 2018, 58.90,23.10,73.58,795,822,888,883,890,883,894,884,883,888,897,886,29,921,886,892,0,0,0,0,
Sun Apr  1 17:13:48 2018, 58.90,23.20,73.76,795,821,889,882,890,884,894,885,883,887,898,886,36,921,886,893,0,0,0,0,
Sun Apr  1 17:18:48 2018, 58.80,23.10,73.58,794,822,888,882,890,884,894,885,883,888,898,886,26,921,886,893,0,0,0,0,
Sun Apr  1 17:23:48 2018, 58.80,23.10,73.58,795,822,889,883,890,883,894,884,883,888,897,887,28,921,886,892,0,0,0,0,
Sun Apr  1 17:28:48 2018, 58.90,23.20,73.76,794,823,889,883,890,883,894,885,883,887,898,886,32,921,886,892,0,0,0,0,
Sun Apr  1 17:33:48 2018, 58.80,23.10,73.58,795,822,889,883,890,883,894,885,883,888,897,886,0,921,887,892,0,0,0,0,
Sun Apr  1 17:38:48 2018, 58.90,23.10,73.58,793,822,889,882,890,882,894,884,883,888,896,886,0,921,887,892,0,0,0,0,
Sun Apr  1 17:43:48 2018, 58.80,23.10,73.58,794,822,889,883,890,883,894,885,883,888,897,886,0,921,887,892,0,0,0,0,
Sun Apr  1 17:48:48 2018, 58.90,23.10,73.58,793,822,60.40,22.90,73.22,794,821,889,885,890,883,892,884,886,888,896,886,0,927,886,892,0,0,0,0,
Sun Apr  1 17:53:48 2018, 60.50,22.90,73.22,795,819,889,886,891,883,891,885,886,887,896,885,0,927,886,892,0,0,0,0,
Sun Apr  1 17:58:49 2018, 60.60,22.90,73.22,795,820,888,885,890,884,891,885,886,887,897,886,2,926,886,892,0,0,0,0,
Sun Apr  1 18:03:49 2018, 60.50,22.90,73.22,794,820,888,885,890,883,892,884,886,888,896,886,1,927,886,892,0,0,0,0,
Sun Apr  1 18:08:49 2018, 60.40,22.90,73.22,794,820,888,885,890,884,891,885,886,888,896,886,4,927,886,892,0,0,0,0,
Sun Apr  1 18:13:49 2018, 60.40,22.90,73.22,795,821,889,885,890,883,892,884,887,887,896,887,2,927,885,892,0,0,0,0,
Sun Apr  1 18:18:49 2018, 60.40,22.90,73.22,795,821,888,885,890,883,892,885,886,888,896,886,1,927,886,892,0,0,0,0,
Sun Apr  1 18:23:49 2018, 60.40,22.90,73.22,794,821,888,885,891,883,892,884,886,888,896,887,0,927,885,892,0,0,0,0,
Sun Apr  1 18:28:49 2018, 60.30,22.90,73.22,795,821,888,885,889,884,892,885,886,887,896,886,0,927,886,892,0,0,0,0,
Sun Apr  1 18:33:49 2018, 60.40,22.90,73.22,794,821,888,884,890,884,892,885,885,888,896,886,0,927,886,892,0,0,0,0,
Sun Apr  1 18:38:49 2018, 60.40,22.90,73.22,794,821,888,884,890,883,892,885,886,888,896,886,0,926,886,892,0,0,0,0,
Sun Apr  1 18:43:50 2018, 60.30,22.90,73.22,795,821,889,885,890,884,891,885,886,888,896,886,17,927,886,892,0,0,0,0,
Sun Apr  1 18:48:50 2018, 60.30,22.90,73.22,795,821,889,885,890,883,892,885,886,888,896,886,26,927,886,892,0,0,0,0,
Sun Apr  1 18:53:50 2018, 60.30,22.90,73.22,794,821,888,885,890,884,892,885,886,887,896,886,17,927,886,891,0,0,0,0,
Sun Apr  1 18:58:50 2018, 60.30,22.90,73.22,795,821,889,885,891,883,892,884,886,888,896,886,9,927,886,891,0,0,0,0,
Sun Apr  1 19:03:50 2018, 60.30,22.90,73.22,794,821,888,885,890,884,892,885,886,888,896,886,3,927,886,892,0,0,0,0,
Sun Apr  1 19:08:50 2018, 60.40,22.90,73.22,795,820,889,884,890,883,892,885,885,888,896,886,6,927,886,892,0,0,0,0,
Sun Apr  1 19:13:50 2018, 60.40,22.90,73.22,794,821,889,885,890,883,892,885,886,888,896,886,2,927,886,892,0,0,0,0,
Sun Apr  1 19:18:50 2018, 60.40,22.90,73.22,795,821,888,885,890,883,892,885,886,888,896,887,0,927,886,892,0,0,0,0,
Sun Apr  1 19:23:50 2018, 60.40,22.90,73.22,794,821,888,885,890,883,892,884,886,887,896,886,0,927,886,892,0,0,0,0,
Sun Apr  1 19:28:50 2018, 60.30,22.90,73.22,795,821,888,884,890,883,892,885,885,888,896,886,0,926,886,892,0,0,0,0,
Sun Apr  1 19:33:50 2018, 60.30,22.90,73.22,794,821,888,884,891,883,892,885,886,888,896,886,0,927,886,892,0,0,0,0,
Sun Apr  1 19:38:51 2018, 60.30,22.90,73.22,793,821,888,885,890,883,892,885,886,888,896,886,0,926,886,892,0,0,0,0,
Sun Apr  1 19:43:51 2018, 60.30,22.90,73.22,794,821,889,884,890,883,892,885,886,887,896,886,0,927,886,892,0,0,0,0,
Sun Apr  1 19:48:51 2018, 60.30,22.90,73.22,795,821,888,885,890,883,892,885,886,888,896,886,0,927,886,892,0,0,0,0,
Sun Apr  1 19:53:51 2018, 60.40,22.90,73.22,794,821,888,885,890,883,891,885,886,888,896,886,0,926,886,892,0,0,0,0,
Sun Apr  1 19:58:51 2018, 60.40,22.90,73.22,795,821,889,885,891,882,892,885,886,888,896,886,0,927,884,893,0,0,0,0,
Sun Apr  1 20:03:51 2018, 60.40,22.90,73.22,795,821,888,885,890,883,892,885,886,887,896,886,0,927,886,892,0,0,0,0,
Sun Apr  1 20:08:51 2018, 60.40,22.90,73.22,794,820,889,885,890,883,892,885,886,888,896,886,0,927,886,892,0,0,0,0,
Sun Apr  1 20:13:51 2018, 60.40,22.90,73.22,794,821,889,885,890,883,892,885,886,888,896,885,0,927,886,892,0,0,0,0,
Sun Apr  1 20:18:51 2018, 60.40,22.90,73.22,795,821,888,885,890,884,892,885,886,889,896,886,0,926,886,892,0,0,0,0,
Sun Apr  1 20:23:51 2018, 60.30,22.90,73.22,794,820,889,885,890,883,891,884,886,888,896,886,6,927,886,892,0,0,0,0,
Sun Apr  1 20:28:52 2018, 60.30,22.90,73.22,795,821,889,885,889,883,892,885,886,888,897,886,0,927,886,892,0,0,0,0,
Sun Apr  1 20:33:52 2018, 60.40,22.90,73.22,795,820,889,885,890,883,892,885,886,888,896,886,0,926,886,892,0,0,0,0,
Sun Apr  1 20:38:52 2018, 60.30,22.90,73.22,795,821,888,885,890,884,892,885,886,888,896,886,0,927,886,891,0,0,0,0,
Sun Apr  1 20:43:52 2018, 60.40,22.90,73.22,795,821,888,884,890,883,892,884,884,888,896,886,0,926,886,892,0,0,0,0,
Sun Apr  1 20:48:52 2018, 60.30,22.90,73.22,795,820,888,885,890,884,892,884,886,888,896,887,3,927,886,892,0,0,0,0,
Sun Apr  1 20:53:52 2018, 60.50,22.90,73.22,794,821,889,885,890,883,892,885,886,888,897,886,5,927,886,892,0,0,0,0,
Sun Apr  1 20:58:52 2018, 60.50,22.90,73.22,795,821,888,885,890,883,892,884,886,888,896,886,0,927,886,892,0,0,0,0,
Sun Apr  1 21:03:52 2018, 60.40,22.90,73.22,794,821,888,885,890,883,892,885,886,888,896,886,24,927,886,892,0,0,0,0,
Sun Apr  1 21:08:52 2018, 60.40,22.90,73.22,794,821,888,884,891,883,892,885,886,888,896,887,0,927,886,893,0,0,0,0,
Sun Apr  1 21:13:52 2018, 60.30,22.90,73.22,794,821,889,885,890,883,892,884,886,888,896,886,1,926,886,892,0,0,0,0,
Sun Apr  1 21:18:53 2018, 60.30,22.90,73.22,795,820,889,884,890,883,891,885,885,888,896,886,19,926,886,892,0,0,0,0,
Sun Apr  1 21:23:53 2018, 60.40,22.90,73.22,794,821,888,885,890,884,892,885,886,887,896,886,20,927,886,892,0,0,0,0,
Sun Apr  1 21:28:53 2018, 60.30,22.90,73.22,795,820,888,885,890,884,892,885,886,888,896,886,7,927,885,892,0,0,0,0,
Sun Apr  1 21:33:53 2018, 60.40,22.90,73.22,795,821,888,8873.30,22.90,73.22,795,819,889,887,889,883,890,885,886,887,895,887,0,926,884,891,0,0,0,0,
